id,rank,pop,core,names,name,source
5856,359,1659763,Y,"[""Turin""]",Turin,OSM
16222,360,1653721,Y,"[""Hiroshima""]",Hiroshima,OSM
20624,361,1651926,Y,"[""Yichang""]",Yichang,OSM
30893,362,1646765,Y,"[""Rajkot""]",Rajkot,OSM
45067,363,1643730,Y,"[""Uyo""]",Uyo,OSM
885,364,1637088,Y,"[""Copenhagen""]",Copenhagen,OSM
53313,365,1634822,Y,"[""Perth""]",Perth,OSM
36042,366,1632980,Y,"[""San Carlos"", ""Dagupan"", ""Urdaneta""]",San Carlos-Dagupan-Urdaneta,OSM
22368,367,1632759,Y,"[""Beni Mazar""]",Beni Mazar,OSM
9778,368,1614130,Y,"[""Kansas City""]",Kansas City,OSM
8124,369,1598853,Y,"[""Cleveland""]",Cleveland,OSM
7898,370,1597634,Y,"[""Bishkek""]",Bishkek,OSM
53734,371,1596611,Y,"[""Auckland""]",Auckland,OSM
29177,372,1596418,Y,"[""Liuzhou""]",Liuzhou,OSM
37656,373,1595080,Y,"[""Tegucigalpa""]",Tegucigalpa,OSM
12333,374,1589825,Y,"[""Yantai""]",Yantai,OSM
28099,375,1589506,Y,"[""Medina""]",Medina,OSM
41365,376,1568926,Y,"[""Panama City""]",Panama City,OSM
5339,377,1564686,Y,"[""Lyon""]",Lyon,OSM
9944,378,1562587,Y,"[""Valencia""]",Valencia,OSM
44916,379,1560462,Y,"[""Warri""]",Warri,OSM
18041,380,1559258,Y,"[""Jammu""]",Jammu,OSM
13033,381,1555165,Y,"[""Erbil""]",Erbil,OSM
24868,382,1551369,Y,"[""Jodhpur""]",Jodhpur,OSM
32817,383,1550468,Y,"[""Silao""]",Silao,OSM
48944,384,1550217,Y,"[""Bojonegoro""]",Bojonegoro,OSM
3600,385,1550071,Y,"[""Kharkiv""]",Kharkiv,OSM
6008,386,1547288,Y,"[""Belgrade""]",Belgrade,OSM
13681,387,1545906,Y,"[""Daejeon""]",Daejeon,OSM
21657,388,1545812,Y,"[""Moradabad""]",Moradabad,OSM
44301,389,1545389,Y,"[""Enugu""]",Enugu,OSM
28980,390,1538604,Y,"[""Imphal""]",Imphal,OSM
53247,391,1536708,Y,"[""Cordoba""]",Cordoba,OSM
4698,392,1535443,Y,"[""Ulaanbaatar""]",Ulaanbaatar,OSM
2021,393,1534175,Y,"[""Utrecht"", ""Almere""]",Utrecht-Almere,OSM
36146,394,1533583,Y,"[""San Pedro Sula""]",San Pedro Sula,OSM
